date,mode,count,count_ma30
2023-01-01,Subway,1675507,1675507.0
2023-01-02,Subway,1938154,1806830.5
2023-01-03,Subway,3175777,2263146.0
2023-01-04,Subway,3413052,2550622.5
2023-01-05,Subway,3428520,2726202.0
2023-01-06,Subway,3229858,2810144.6666666665
2023-01-07,Subway,2116138,2711000.8571428573
2023-01-08,Subway,1610764,2573471.25
2023-01-09,Subway,3145743,2637057.0
2023-01-10,Subway,3469177,2720269.0
2023-01-11,Subway,3508962,2791968.3636363638
2023-01-12,Subway,3472709,2848696.75
2023-01-13,Subway,3270020,2881106.230769231
2023-01-14,Subway,2072387,2823340.5714285714
2023-01-15,Subway,1705804,2748838.1333333333
2023-01-16,Subway,2172218,2712799.375
2023-01-17,Subway,3451604,2756258.470588235
2023-01-18,Subway,3603344,2803318.777777778
2023-01-19,Subway,3492226,2839577.052631579
2023-01-20,Subway,3375887,2866392.55
2023-01-21,Subway,2137169,2831667.619047619
2023-01-22,Subway,1593386,2775382.090909091
2023-01-23,Subway,3135214,2791026.9565217393
2023-01-24,Subway,3566756,2823349.0
2023-01-25,Subway,3511071,2850857.88
2023-01-26,Subway,3629029,2880787.5384615385
2023-01-27,Subway,3335372,2897624.0
2023-01-28,Subway,2248107,2874426.964285714
2023-01-29,Subway,1637398,2831770.793103448
2023-01-30,Subway,3223530,2844829.433333333
2023-01-31,Subway,3654404,2910792.6666666665
2023-02-01,Subway,3682758,2968946.1333333333
2023-02-02,Subway,3699932,2986417.966666667
2023-02-03,Subway,3189550,2978967.9
2023-02-04,Subway,1742435,2922765.066666667
2023-02-05,Subway,1625375,2869282.3
2023-02-06,Subway,3372445,2911159.2
2023-02-07,Subway,3738539,2982085.033333333
2023-02-08,Subway,3780682,3003249.6666666665
2023-02-09,Subway,3754859,3012772.4
2023-02-10,Subway,3539529,3013791.3
2023-02-11,Subway,2333625,2975821.8333333335
2023-02-12,Subway,1746099,2925024.466666667
2023-02-13,Subway,3303337,2966056.1333333333
2023-02-14,Subway,3812943,3036294.1
2023-02-15,Subway,3762817,3089314.066666667
2023-02-16,Subway,3683782,3097053.3333333335
2023-02-17,Subway,3253165,3085380.7
2023-02-18,Subway,2271106,3044676.7
2023-02-19,Subway,1824136,2992951.6666666665
2023-02-20,Subway,2238557,2996331.2666666666
2023-02-21,Subway,3325542,3054069.8
2023-02-22,Subway,3454362,3064708.066666667
2023-02-23,Subway,3498367,3062428.433333333
2023-02-24,Subway,3246699,3053616.033333333
2023-02-25,Subway,2043635,3000769.566666667
2023-02-26,Subway,1625191,2943763.533333333
2023-02-27,Subway,3337916,2980090.5
2023-02-28,Subway,3412079,3039246.533333333
2023-03-01,Subway,3780713,3057819.3
2023-03-02,Subway,3765925,3061536.6666666665
2023-03-03,Subway,3481830,3054839.066666667
2023-03-04,Subway,2173217,3003948.566666667
2023-03-05,Subway,1772121,2956700.933333333
2023-03-06,Subway,3427019,3012853.7333333334
2023-03-07,Subway,3773780,3084467.2333333334
2023-03-08,Subway,3842861,3100147.7666666666
2023-03-09,Subway,3827656,3103118.3333333335
2023-03-10,Subway,3502339,3093840.2333333334
2023-03-11,Subway,2230530,3043029.2666666666
2023-03-12,Subway,1773585,2984164.466666667
2023-03-13,Subway,3352388,3018123.2333333334
2023-03-14,Subway,3577250,3079161.6
2023-03-15,Subway,3912366,3099462.566666667
2023-03-16,Subway,3949788,3104024.066666667
